Date,Amount,Category,Description
23-01-2025,12556.65,Income,Salary
23-01-2025,4783.0,Expense,Send to the chemist
20-12-2012,20200.0,Income,did a project
24-01-2025,90290.0,Expense,car repair
12-12-2010,201291.0,Expense,But a motorcycle
26-01-2025,2332.0,Expense,chicken fry
26-01-2025,233432.0,Income,worked on a project
15-08-2015,45210.0,Income,Freelance gig
10-11-2019,12345.67,Expense,Home renovation
04-03-2017,87500.0,Income,Bonus from work
18-05-2023,6523.89,Expense,Grocery shopping
01-01-2024,13000.0,Income,New Year bonus
23-06-2020,4500.0,Expense,Gift for a friend
11-11-2018,125000.0,Income,Sold old car
28-02-2021,2000.0,Expense,Electricity bill
14-07-2022,7600.0,Expense,Internet subscription
09-09-2023,3400.0,Income,Investment returns
07-05-2024,15000.0,Expense,Vacation trip
22-12-2016,9800.0,Expense,Medical expenses
30-10-2013,52000.0,Income,Consulting work
06-06-2025,6300.0,Expense,Car fuel
05-04-2025,8000.0,Income,Selling old furniture
03-03-2018,10000.0,Expense,Tuition fees
27-12-2014,123000.0,Income,Year-end bonus
15-02-2011,8900.0,Expense,Household items
21-09-2021,45000.0,Income,Real estate commission
19-10-2019,2300.0,Expense,Pet food
11-12-2024,2300.0,Expense,bought a watch
27-01-2025,340000.0,Income,sold my car
